Country,Country ISO,Country Code,Destination Network,MCC,MNC,Rate in USD
Aruba,ABW,297,Aruba-MIO,,,0.05000
Aruba,ABW,297,Aruba-Others,,,0.05000
Aruba,ABW,297,Aruba - New Millennium Telecom (Digicel),,,0.05000
Aruba,ABW,297,Aruba - SETAR,,,0.05000
Afghanistan,AFG,93,Afghanistan-Other,,,0.08600
Afghanistan,AFG,93,Afghanistan - Afghan Telecom,,,0.08600
Afghanistan,AFG,93,Afghanistan - Afghan Wireless Communication Company (AWCC),,,0.08600
Afghanistan,AFG,93,Afghanistan - Areeba (MTN),,,0.12500
Afghanistan,AFG,93,Afghanistan - Etisalat,,,0.08600
Afghanistan,AFG,93,Afghanistan - Roshan,,,0.12500
Angola,AGO,244,Angola-Others,,,0.06000
Angola,AGO,244,Angola - Movicel,,,0.06000
Angola,AGO,244,Angola - Unitel,,,0.06000
Anguilla,AIA,1264,Anguilla-Digicel,,,0.03500
Anguilla,AIA,1264,Anguilla-Others,,,0.03500
Anguilla,AIA,1264,Anguilla-LIME,,,0.03500
Anguilla,AIA,1264,Anguilla - Cable & Wireless (Anguilla),,,0.03500
Anguilla,AIA,1264,Anguilla - Weblinks,,,0.03500
Albania,ALB,355,Albania-Others,,,0.08500
Albania,ALB,355,Albania - Albania Mobile Communications (AMC),,,0.08500
Albania,ALB,355,Albania - Eagle Mobile,,,0.08500
Albania,ALB,355,Albania - Plus Communications (4L),,,0.08500
Albania,ALB,355,Albania - Vodafone Albania,,,0.08500
Andorra,AND,376,Andorra - Mobiland,,,0.04000
Netherlands Antilles,ANT,599,Netherlands Antilles-Telcell,,,0.02000
Netherlands Antilles,ANT,599,Netherlands Antilles - Digicel,,,0.03500
Netherlands Antilles,ANT,599,Netherlands Antilles - Satel,,,0.03500
United Arab Emirates,ARE,971,United Arab Emirates-Others,,,0.03000
United Arab Emirates,ARE,971,United Arab Emirates - Etisalat,,,0.03000
United Arab Emirates,ARE,971,United Arab Emirates - du,,,0.03000
Argentina,ARG,54,Argentina-Movistar,,,0.06500
Argentina,ARG,54,Argentina-Others,,,0.06500
Argentina,ARG,54,Argentina - CTI NORTE COMPANIA DE TELEFONOS DEL INTERIOR,,,0.06500
Argentina,ARG,54,Argentina - Claro,,,0.06900
Argentina,ARG,54,Argentina - NEXTEL COMMUNICATIONS ARGENTIN,,,0.06750
Argentina,ARG,54,Argentina - TELECOM PERSONAL,,,0.06500
Argentina,ARG,54,Argentina - TELEFONICA MOVILES ARGENTINA,,,0.06500
Argentina,ARG,54,COMPANIA DE RADIOCOMUNICACIONE,,,0.06500
Argentina,ARG,54,Argentina - GTE PCS,,,0.06500
Argentina,ARG,54,Argentina - TELEFONICA COMUNICACIONES PERSONALES,,,0.06750
Argentina,ARG,54,CTI COMPANIA DE TELEFONOS DEL INTERIOR,,,0.06800
Armenia,ARM,374,Armenia-Others,,,0.08100
Armenia,ARM,374,Armenia - ArmenTel,,,0.08100
Armenia,ARM,374,Armenia - K-Telecom (Vivacell),,,0.08100
Armenia,ARM,374,Armenia - Karabagh Telecom,,,0.08100
Armenia,ARM,374,Armenia - Orange Armenia,,,0.08100
American Samoa,ASM,1684,American Samoa-Others,,,0.06500
American Samoa,ASM,1684,American Samoa-ASTCA,,,0.06500
American Samoa,ASM,1684,American Samoa - American Samoa License DBA Blue Sky Communications,,,0.04000
Antigua and Barbuda,ATG,1268,Antigua and Barbuda-Others,,,0.04500
Antigua and Barbuda,ATG,1268,Antigua and Barbuda - APUA PCS,,,0.04500
Antigua and Barbuda,ATG,1268,Antigua and Barbuda - Cable & Wireless (Antigua),,,0.04500
Australia,AUS,61,Australia - Other Networks,,,0.03800
Australia,AUS,61,Australia-YES OPTUS,,,0.03800
Australia,AUS,61,Australia - Dialogue Communications Pty Limited,,,0.03800
Australia,AUS,61,Australia - Pivotel Satellite Pty Limited,,,0.03800
Australia,AUS,61,Australia - Rail Corporation,,,0.03800
Australia,AUS,61,Australia - SingTel Optus,,,0.03800
Australia,AUS,61,Australia - Telstra Corporation,,,0.03800
Australia,AUS,61,Australia - Victorian Rail Track,,,0.03800
Australia,AUS,61,Australia - Vodafone Australia PTY Limited,,,0.03800
Australia,AUS,61,Australia - Vodafone Hutchison Australia,,,0.03800
